gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2024020020,2024-10-11,False,CAR,23,21,4,1,20,19,False
2024020048,2024-10-15,True,VAN,27,27,4,1,26,23,False
2024020064,2024-10-17,True,VGK,25,25,4,3,22,21,False
2024020075,2024-10-19,False,OTT,29,28,4,5,23,25,False
2024020091,2024-10-21,False,TOR,34,29,2,5,24,32,False
2024020094,2024-10-22,False,NJD,37,35,8,5,30,29,True
2024020112,2024-10-24,True,MIN,26,18,2,4,14,24,False
2024020127,2024-10-26,True,WSH,21,32,3,0,32,18,False
2024020141,2024-10-28,True,NSH,27,37,3,2,35,24,False
2024020157,2024-10-30,False,COL,21,35,5,2,33,16,False
2024020172,2024-11-01,False,MIN,30,22,3,5,17,27,False
2024020186,2024-11-03,False,WPG,30,34,4,7,27,26,False
2024020199,2024-11-05,False,STL,23,23,2,3,20,21,False
2024020210,2024-11-07,True,PHI,23,31,1,2,30,22,False
2024020259,2024-11-14,True,WPG,29,24,4,1,23,25,False
2024020276,2024-11-16,True,NJD,26,29,4,0,29,23,False
2024020295,2024-11-19,False,PIT,35,19,3,2,17,32,False
2024020311,2024-11-21,False,CBJ,30,43,6,7,36,24,False
2024020325,2024-11-23,True,DAL,29,28,2,4,24,27,False
2024020334,2024-11-25,True,COL,33,25,8,2,23,25,False
2024020351,2024-11-27,True,WSH,28,32,4,5,27,25,False
2024020369,2024-11-29,False,NSH,28,31,3,2,29,25,False
2024020378,2024-11-30,True,TOR,41,29,3,5,24,38,True
2024020413,2024-12-05,True,SJS,35,21,8,1,20,27,False
2024020437,2024-12-08,False,VAN,33,25,4,2,23,29,False
2024020453,2024-12-10,False,EDM,22,25,1,2,24,21,False
2024020470,2024-12-12,False,CGY,26,22,8,3,19,18,False
2024020488,2024-12-14,False,SEA,31,22,5,1,21,26,False
2024020498,2024-12-17,True,CBJ,33,32,5,3,29,28,False
2024020512,2024-12-19,True,STL,18,32,3,1,31,15,False
2024020540,2024-12-22,True,FLA,21,26,2,4,22,19,False
2024020549,2024-12-23,False,FLA,29,36,4,0,36,25,True
2024020572,2024-12-28,True,NYR,25,44,6,2,42,19,False
2024020580,2024-12-29,True,MTL,23,37,2,5,32,21,True
2024020614,2025-01-02,False,SJS,25,25,1,2,23,24,False
2024020629,2025-01-04,False,LAK,34,21,1,2,19,33,False
2024020636,2025-01-05,False,ANA,37,26,1,4,22,36,True
2024020029,2025-01-07,True,CAR,33,31,3,2,29,30,False
2024020655,2025-01-09,True,BOS,31,28,4,1,27,27,False
2024020674,2025-01-11,False,NJD,25,26,2,3,23,23,False
2024020686,2025-01-12,False,PIT,19,33,5,2,31,14,True
2024020692,2025-01-14,False,BOS,45,24,2,6,18,43,False
2024020709,2025-01-16,True,ANA,35,37,4,3,34,32,False
2024020727,2025-01-18,True,DET,22,39,5,1,38,17,False
2024020744,2025-01-20,False,TOR,30,28,3,5,23,27,False
2024020749,2025-01-21,False,MTL,35,22,2,3,19,33,True
2024020773,2025-01-24,False,CHI,40,14,4,3,11,36,False
2024020781,2025-01-25,False,DET,28,32,0,2,30,28,True
2024020801,2025-01-28,True,CHI,35,21,1,4,17,34,False
2024020815,2025-01-30,True,LAK,33,28,3,0,28,30,False
2024020829,2025-02-01,True,NYI,31,36,2,3,33,29,False
2024020847,2025-02-04,True,OTT,38,28,4,3,25,34,False
2024020862,2025-02-06,True,OTT,31,28,5,1,27,26,False
2024020877,2025-02-08,False,DET,18,37,6,3,34,12,False
2024020891,2025-02-09,False,MTL,21,35,5,3,32,16,True
